#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
7.499999999999936,-71105.53369140625,12023.466796875,1275.2122287814623,0
15.00000000000019,-67644.71655273438,8352.4296875,885.8610130903046,8.55e+03
22.500000000000473,-68371.58129882812,8990.41796875,953.5262274426843,8.64e+03
30.000000000000757,-68600.1484375,9037.509765625,958.5207965020758,8.65e+03
37.50000000000104,-68452.48461914062,8711.4140625,923.9349956342121,8.53e+03
45.00000000000132,-69125.06994628906,9221.89453125,978.0766959692008,8.46e+03
52.500000000001606,-68570.18151855469,8543.5,906.1259835163404,8.41e+03
60.00000000000189,-68907.55651855469,8758.68359375,928.9484152507935,8.39e+03
67.50000000000217,-68602.42810058594,8319.537109375,882.3724171163005,8.36e+03
75.00000000000246,-68992.31677246094,8575.8076171875,909.552538370802,8e+03
82.50000000000274,-68878.12646484375,8304.0322265625,880.7279649377107,8.03e+03
90.00000000000303,-69452.66748046875,8674.3037109375,919.9990614376642,7.99e+03
97.50000000000331,-69914.84204101562,8998.53515625,954.3871386040145,7.94e+03
105.0000000000036,-69888.78540039062,8795.0234375,932.8026291746887,7.89e+03
112.50000000000388,-69823.57019042969,8531.732421875,904.8779109111879,7.86e+03
120.00000000000416,-69614.47424316406,8204.38671875,870.159534696055,7.79e+03
127.50000000000445,-69504.76867675781,8011.2763671875,849.6781971602959,7.77e+03
134.9999999999981,-69681.00415039062,8046.25390625,853.3879246705656,7.74e+03
142.49999999999127,-70130.09289550781,8332.5185546875,883.7492328125904,7.71e+03
149.99999999998445,-69916.44555664062,7998.9951171875,848.3756443733748,7.57e+03
157.49999999997763,-70018.42065429688,8015.77734375,850.1555719849555,7.55e+03
164.9999999999708,-70436.89099121094,8319.73828125,882.3937534612517,7.53e+03
172.499999999964,-70283.48486328125,8067.2939453125,855.6194370587824,7.53e+03
179.99999999995717,-70390.5693359375,8093.1259765625,858.3591894696949,7.5e+03
187.49999999995035,-70421.70361328125,8067.83642578125,855.6769726880075,7.5e+03
194.99999999994353,-70801.630859375,8294.23046875,879.6883877810372,7.49e+03
202.4999999999367,-70945.91979980469,8254.931640625,875.5203431522779,7.48e+03
209.99999999992988,-70535.9443359375,7730.8984375,819.9412360443175,7.47e+03
217.49999999992306,-70969.87841796875,7991.431640625,847.5734599479055,7.46e+03
224.99999999991624,-70681.6650390625,7594.4248046875,805.4668046337395,7.37e+03
232.49999999990942,-71198.18041992188,7953.44091796875,843.5441533485737,7.38e+03
239.9999999999026,-71036.39270019531,7656.3544921875,812.0350844950137,7.38e+03
247.49999999989578,-71458.4609375,7960.478515625,844.2905629111489,7.39e+03
254.99999999988896,-71344.31640625,7764.1064453125,823.4632865786091,7.38e+03
262.49999999988216,-71338.23779296875,7686.580078125,815.2408185366799,7.39e+03
269.99999999987534,-71590.5703125,7838.857421875,831.3913959198044,7.38e+03
277.4999999998685,-71486.015625,7617.181640625,807.8804009754713,7.37e+03
284.9999999998617,-71697.58959960938,7703.72900390625,817.0596383692758,7.37e+03
292.4999999998549,-71762.0087890625,7673.6181640625,813.866074330191,7.38e+03
299.99999999984806,-71807.9345703125,7595.466796875,805.5773186146271,7.32e+03
307.49999999984124,-71700.29797363281,7377.12109375,782.4195126813788,7.31e+03
314.9999999998344,-72305.189453125,7867.89794921875,834.4714423177898,7.3e+03
322.4999999998276,-72256.65478515625,7638.7998046875,810.1732294618001,7.3e+03
329.9999999998208,-72138.18237304688,7426.5830078125,787.6654570281318,7.31e+03
337.49999999981395,-72067.34118652344,7281.751953125,772.3046351316701,7.31e+03
344.99999999980713,-72336.03466796875,7451.384765625,790.2959383520371,7.31e+03
352.4999999998003,-72837.5302734375,7844.302734375,831.9689272763464,7.32e+03
359.9999999997935,-72415.76232910156,7341.60546875,778.6527156270893,7.32e+03
367.49999999978667,-72923.31713867188,7737.2626953125,820.6162309960005,7.33e+03
374.99999999977985,-72931.17724609375,7625.71875,808.7858491675248,7.3e+03
382.499999999773,-72746.58728027344,7301.9794921875,774.4499735441618,7.3e+03
389.9999999997662,-72933.36389160156,7401.1572265625,784.9687916050817,7.31e+03
397.4999999997594,-73312.57531738281,7662.2177734375,812.6569457332988,7.33e+03
404.99999999975256,-73018.98840332031,7264.3828125,770.4624592515669,7.34e+03
412.49999999974574,-73669.24682617188,7780.369140625,825.1881125614809,7.35e+03
419.9999999997389,-73013.09790039062,7077.2021484375,750.6100260194168,7.35e+03
427.4999999997321,-73430.12951660156,7415.3056640625,786.4693788169864,7.35e+03
434.9999999997253,-73154.30737304688,7022.9091796875,744.851698670366,7.35e+03
442.49999999971845,-73434.65393066406,7208.97998046875,764.5864194945696,7.35e+03
449.99999999971163,-73541.66430664062,7188.8466796875,762.451076020368,7.34e+03
457.4999999997048,-73572.53784179688,7103.294921875,753.3774328191737,7.34e+03
464.999999999698,-73588.08850097656,7089.9453125,751.9615695401335,7.34e+03
472.49999999969117,-73829.01098632812,7230.46044921875,766.8646439778007,7.33e+03
479.99999999968435,-73811.30029296875,7134.0224609375,756.6364041487278,7.33e+03
487.4999999996775,-74069.12548828125,7277.033203125,771.8041631957284,7.32e+03
494.9999999996707,-73998.78857421875,7163.71826171875,759.7859490295396,7.33e+03
502.4999999996639,-73809.72241210938,6894.7939453125,731.2637613201614,7.33e+03
509.99999999965706,-74178.05834960938,7162.8876953125,759.6978589257485,7.33e+03
517.4999999996503,-74213.94458007812,7067.9140625,749.6249290445118,7.33e+03
524.9999999996435,-74478.89318847656,7183.80859375,761.9167352261786,7.32e+03
532.4999999996367,-74256.9677734375,6889.0556640625,730.655157616603,7.33e+03
539.9999999996298,-74456.90856933594,7004.3134765625,742.8794332307547,7.33e+03
547.499999999623,-74753.67541503906,7191.037109375,762.6833936015595,7.34e+03
554.9999999996162,-74620.65966796875,7042.4375,746.922877747979,7.35e+03
562.4999999996094,-74656.39880371094,6990.78173828125,741.4442533093193,7.35e+03
569.9999999996026,-74957.80554199219,7219.7509765625,765.7287943326219,7.36e+03
577.4999999995957,-74337.01025390625,6548.0791015625,694.4910886692942,7.36e+03
584.9999999995889,-74912.43566894531,7025.890625,745.1679115885013,7.37e+03
592.4999999995821,-74626.70861816406,6646.744140625,704.9555301229357,7.37e+03
599.9999999995753,-74782.56066894531,6662.2568359375,706.600810897446,7.36e+03
607.4999999995684,-74930.07788085938,6734.16015625,714.2268970256433,7.36e+03
614.9999999995616,-74899.61376953125,6607.2080078125,700.7623168930932,7.37e+03
622.4999999995548,-75228.31701660156,6807.2919921875,721.9832798623289,7.37e+03
629.999999999548,-75149.74389648438,6658.62890625,706.2160316668948,7.38e+03
637.4999999995412,-75184.17944335938,6636.71533203125,703.8918718973244,7.38e+03
644.9999999995343,-75318.74291992188,6656.9140625,706.0341548623596,7.38e+03
652.4999999995275,-75812.93359375,7065.6181640625,749.3814254183943,7.38e+03
659.9999999995207,-75344.99926757812,6505.72216796875,689.9987005249303,7.38e+03
667.4999999995139,-75598.44873046875,6675.5673828125,708.0125311968841,7.39e+03
674.999999999507,-75476.529296875,6465.2392578125,685.7050718269803,7.38e+03
682.4999999995002,-75484.52807617188,6362.2783203125,674.7850061915907,7.38e+03
689.9999999994934,-75970.28125,6723.47216796875,713.0933260192456,7.39e+03
697.4999999994866,-75674.07482910156,6347.1845703125,673.1841588733137,7.39e+03
704.9999999994798,-75592.72814941406,6190.435546875,656.559313900231,7.39e+03
712.499999999473,-75942.75915527344,6404.2490234375,679.236430625138,7.4e+03
719.9999999994661,-75785.05932617188,6156.0341796875,652.9106953390933,7.4e+03
727.4999999994593,-76154.39428710938,6439.3642578125,682.9607621385054,7.4e+03
734.9999999994525,-76114.55444335938,6326.123046875,670.9503678463155,7.41e+03
742.4999999994457,-76135.07470703125,6306.13623046875,668.8305605456222,7.41e+03
749.9999999994388,-76171.34289550781,6260.17529296875,663.9559307457134,7.4e+03
757.499999999432,-76445.7646484375,6460.1611328125,685.1664844786986,7.4e+03
764.9999999994252,-76286.79357910156,6217.84765625,659.4666498360511,7.4e+03
772.4999999994184,-76377.64245605469,6201.7734375,657.7618137297599,7.4e+03
779.9999999994116,-76675.69738769531,6407.794921875,679.6125095985248,7.4e+03
787.4999999994047,-76543.46374511719,6210.005859375,658.6349466809164,7.41e+03
794.9999999993979,-76845.92211914062,6360.234375,674.5682247839072,7.41e+03
802.4999999993911,-76929.36242675781,6350.6484375,673.5515375895357,7.41e+03
809.9999999993843,-76735.26879882812,6061.0087890625,642.8322760098837,7.4e+03
817.4999999993775,-76859.66528320312,6098.9296875,646.8541770331766,7.4e+03
824.9999999993706,-76869.64770507812,6042.2431640625,640.841988609003,7.39e+03
832.4999999993638,-76987.71118164062,6120.73583984375,649.1669436088408,7.39e+03
839.999999999357,-77094.02294921875,6119.00830078125,648.9837203359351,7.39e+03
847.4999999993502,-76900.10766601562,5853.09765625,620.7811635028639,7.39e+03
854.9999999993433,-76935.31225585938,5801.53955078125,615.3128965132098,7.39e+03
862.4999999993365,-77094.2001953125,5857.72265625,621.2716922877605,7.39e+03
869.9999999993297,-77333.783203125,6025.8583984375,639.1042158148745,7.39e+03
877.4999999993229,-77400.94750976562,5997.80908203125,636.129297524294,7.39e+03
884.9999999993161,-77203.92053222656,5752.4853515625,610.1101945160545,7.39e+03
892.4999999993092,-77202.62634277344,5691.43994140625,603.6357013555242,7.39e+03
899.9999999993024,-77606.021484375,6009.58154296875,637.3778880018967,7.38e+03
907.4999999992956,-77481.0498046875,5819.76025390625,617.2453893486403,7.38e+03
914.9999999992888,-77417.69982910156,5681.5283203125,602.5844720687196,7.38e+03
922.499999999282,-77684.14599609375,5908.00537109375,626.6046909934039,7.39e+03
929.9999999992751,-77483.99560546875,5642.9560546875,598.4934868605606,7.39e+03
937.4999999992683,-77830.74682617188,5901.97119140625,625.9647042193592,7.39e+03
944.9999999992615,-77517.38110351562,5513.95556640625,584.8116592351219,7.39e+03
952.4999999992547,-77751.18395996094,5695.982421875,604.1174780960112,7.4e+03
959.9999999992478,-77638.40454101562,5505.2734375,583.8908302312952,7.4e+03
967.499999999241,-77834.41137695312,5614.546875,595.4804013703952,7.4e+03
974.9999999992342,-77752.30639648438,5418.50390625,574.6880296410035,7.39e+03
982.4999999992274,-77935.60632324219,5547.345703125,588.3530264118084,7.4e+03
989.9999999992206,-77872.10302734375,5412.9765625,574.101798027297,7.4e+03
997.4999999992137,-77960.92687988281,5428.19482421875,575.7158510930559,7.4e+03
1004.9999999992069,-78121.63647460938,5534.76025390625,587.0182101712355,7.41e+03
1012.4999999992001,-78084.52294921875,5419.9892578125,574.8455664403759,7.41e+03
1019.9999999991933,-78393.9580078125,5647.544921875,598.980183389325,7.41e+03
1027.499999999213,-78147.80920410156,5299.73828125,562.0917144585774,7.42e+03
1034.999999999263,-78546.06567382812,5616.4013671875,595.6770893270079,7.42e+03
1042.499999999313,-78463.17395019531,5465.55517578125,579.6783003590577,7.42e+03
1049.9999999993631,-78355.36145019531,5288.193359375,560.8672568371571,7.42e+03
1057.4999999994131,-78515.72912597656,5345.62890625,566.9588868952022,7.42e+03
1064.9999999994632,-78676.92126464844,5491.2099609375,582.3992540000255,7.43e+03
1072.4999999995132,-78728.92626953125,5464.7880859375,579.5969425971202,7.43e+03
1079.9999999995632,-78758.90417480469,5421.8056640625,575.0382149918767,7.43e+03
1087.4999999996132,-78643.54602050781,5194.232421875,550.9017337021065,7.44e+03
1094.9999999996633,-78906.44555664062,5432.255859375,576.1465656099462,7.44e+03
1102.4999999997133,-78687.51110839844,5131.8564453125,544.2861202988774,7.44e+03
1109.9999999997633,-78841.380859375,5234.38818359375,555.1606649458884,7.44e+03
1117.4999999998133,-78897.85632324219,5228.7451171875,554.5621597551104,7.44e+03
1124.9999999998633,-78791.68139648438,5086.4716796875,539.4725994481007,7.44e+03
1132.4999999999134,-78881.51696777344,5086.3173828125,539.4562346786721,7.44e+03
1139.9999999999634,-78994.57958984375,5100.9443359375,541.0075733907032,7.44e+03
1147.5000000000134,-78943.75366210938,4989.7890625,529.2184142092691,7.44e+03
1155.0000000000634,-79118.20715332031,5122.875,543.3335457138494,7.44e+03
1162.5000000001135,-79062.70874023438,5021.7509765625,532.6083036942516,7.44e+03
1170.0000000001635,-79164.18811035156,5062.0517578125,536.8826157498064,7.44e+03
1177.5000000002135,-79136.68566894531,4926.7744140625,522.5350630895447,7.44e+03
1185.0000000002635,-79222.32055664062,4976.5654296875,527.8159120394458,7.44e+03
1192.5000000003135,-79157.49060058594,4860.3515625,515.4902369995311,7.44e+03
1200.0000000003636,-79147.71960449219,4802.99267578125,509.40673753895527,7.42e+03
1207.5000000004136,-79405.07312011719,5031.56591796875,533.6492791065408,7.42e+03
1215.0000000004636,-79452.5830078125,5051.080078125,535.718956354048,7.42e+03
1222.5000000005136,-79556.24084472656,5124.7294921875,543.5302336704623,7.41e+03
1230.0000000005637,-79844.83801269531,5353.70947265625,567.8159140131553,7.41e+03
1237.5000000006137,-79600.6884765625,5048.29296875,535.4233547594334,7.4e+03
1245.0000000006637,-79451.3349609375,4854.50048828125,514.8696704423717,7.4e+03
1252.5000000007137,-79245.49267578125,4631.82421875,491.25256343297815,7.39e+03
1260.0000000007637,-79481.5263671875,4836.4912109375,512.959601484038,7.39e+03
1267.5000000008138,-79609.45874023438,4919.52734375,521.7664367988527,7.38e+03
1275.0000000008638,-79504.51892089844,4772.810546875,506.2056125620965,7.37e+03
1282.5000000009138,-79776.28869628906,4984.50146484375,528.6576101328709,7.37e+03
1290.0000000009638,-79406.97790527344,4603.65380859375,488.264801905631,7.37e+03
1297.5000000010139,-79623.94873046875,4777.2275390625,506.6740799806115,7.37e+03
1305.0000000010639,-79478.79248046875,4594.01171875,487.2421591780813,7.38e+03
1312.500000001114,-79825.98791503906,4858.12109375,515.2536728642475,7.38e+03
1320.000000001164,-79755.64270019531,4752.20751953125,504.02044975817904,7.38e+03
1327.500000001214,-79670.55615234375,4624.2099609375,490.4449931340259,7.38e+03
1335.000000001264,-79964.98596191406,4840.3818359375,513.3722422524137,7.38e+03
1342.500000001314,-79900.19873046875,4745.919921875,503.3535854039653,7.38e+03
1350.000000001364,-80145.25756835938,4957.15966796875,525.7577315603347,7.38e+03
1357.500000001414,-79805.20629882812,4576.9150390625,485.42888058070315,7.38e+03
1365.000000001464,-80053.79809570312,4794.8525390625,508.5433923771089,7.38e+03
1372.500000001514,-79991.27282714844,4691.1826171875,497.5481316619399,7.38e+03
1380.000000001564,-80197.8154296875,4827.81787109375,512.039704650622,7.38e+03
1387.5000000016141,-80013.18505859375,4598.119140625,487.67779348324905,7.38e+03
1395.0000000016641,-80065.8203125,4580.77978515625,485.8387766250925,7.38e+03
1402.5000000017142,-80315.37280273438,4796.0087890625,508.666024573333,7.39e+03
1410.0000000017642,-80154.14367675781,4622.91015625,490.30713548776384,7.39e+03
1417.5000000018142,-80283.13989257812,4655.97314453125,493.81380521028234,7.39e+03
1425.0000000018642,-80178.18872070312,4501.22216796875,477.40087364385056,7.39e+03
1432.5000000019143,-80443.97875976562,4699.66845703125,498.4481421932654,7.39e+03
1440.0000000019643,-80208.67260742188,4419.83447265625,468.7688720682472,7.39e+03
1447.5000000020143,-80243.41088867188,4454.45556640625,472.4407948896472,7.39e+03
1455.0000000020643,-80540.87487792969,4706.615234375,499.1849193282657,7.39e+03
1462.5000000021143,-80562.91357421875,4706.9248046875,499.21775244161284,7.39e+03
1470.0000000021644,-80427.58471679688,4505.43505859375,477.84769399394423,7.39e+03
1477.5000000022144,-80326.09619140625,4363.70068359375,462.8153068054444,7.39e+03
1485.0000000022644,-80369.01049804688,4386.74072265625,465.25893974929204,7.39e+03
1492.5000000023144,-80332.7646484375,4312.92333984375,457.4298476205885,7.39e+03
1500.0000000023645,-80332.73376464844,4267.705078125,452.6339862203659,7.39e+03
1507.5000000024145,-80550.92468261719,4451.88427734375,472.16808325733456,7.39e+03
1515.0000000024645,-80536.61840820312,4386.943359375,465.28043145597826,7.39e+03
1522.5000000025145,-80572.50390625,4367.84375,463.2547215794991,7.39e+03
1530.0000000025645,-80496.84912109375,4297.59814453125,455.80445314816865,7.39e+03
1537.5000000026146,-80431.38232421875,4209.17431640625,446.42619737172504,7.39e+03
1545.0000000026646,-80693.68359375,4430.3779296875,469.8871140501169,7.39e+03
1552.5000000027146,-80910.85498046875,4597.7119140625,487.63460292089644,7.39e+03
1560.0000000027646,-80875.58483886719,4564.857421875,484.1500463520045,7.39e+03
1567.5000000028147,-80805.4326171875,4439.3486328125,470.8385493157544,7.39e+03
1575.0000000028647,-80715.56494140625,4325.6875,458.78361799284136,7.38e+03
1582.5000000029147,-80602.65002441406,4194.35791015625,444.85476520862346,7.38e+03
1590.0000000029647,-80719.32250976562,4273.6064453125,453.2598868637632,7.38e+03
1597.5000000030147,-80914.01416015625,4458.376953125,472.8566982544596,7.38e+03
1605.0000000030648,-80739.25415039062,4203.20703125,445.79330545024914,7.38e+03
1612.5000000031148,-80743.49853515625,4188.646484375,444.2490098035417,7.38e+03
1620.0000000031648,-80857.00134277344,4258.24609375,451.63076370970134,7.38e+03
1627.5000000032148,-80804.39794921875,4174.6484375,442.76437306310544,7.37e+03
1635.0000000032649,-81043.32153320312,4397.2783203125,466.37656028422134,7.37e+03
1642.5000000033149,-80905.72607421875,4282.4599609375,454.19889319059416,7.37e+03
1650.000000003365,-80774.72412109375,4111.4697265625,436.06362142905186,7.36e+03
1657.500000003415,-81195.98583984375,4498.275390625,477.0883376201122,7.36e+03
1665.000000003465,-80834.72119140625,4162.0107421875,441.4240155873146,7.36e+03
1672.500000003515,-81003.37158203125,4268.07958984375,452.67370703730165,7.36e+03
1680.000000003565,-81023.6474609375,4238.056640625,449.48946470232175,7.36e+03
1687.500000003615,-81147.26440429688,4323.115234375,458.51080278603865,7.35e+03
1695.000000003665,-81188.06567382812,4337.3984375,460.02568327757075,7.35e+03
1702.500000003715,-81120.83325195312,4249.046875,450.6550920133912,7.35e+03
1710.000000003765,-81101.46362304688,4210.72119140625,446.59025936397086,7.35e+03
1717.500000003815,-81063.49401855469,4091.38818359375,433.93376740282326,7.34e+03
1725.0000000038651,-81340.01232910156,4310.6337890625,457.1870172286565,7.34e+03
1732.5000000039151,-81425.89282226562,4382.064453125,464.7629733036677,7.33e+03
1740.0000000039652,-81237.51281738281,4165.3388671875,441.7769974494192,7.33e+03
1747.5000000040152,-81259.42456054688,4189.93359375,444.3855209814331,7.32e+03
1755.0000000040652,-81462.5400390625,4341.8330078125,460.49601503690667,7.32e+03
1762.5000000041152,-81165.8447265625,4006.6318359375,424.94448562377806,7.31e+03
1770.0000000041653,-81277.09375,4097.8994140625,434.62435031525933,7.31e+03
1777.5000000042153,-81401.87963867188,4189.7490234375,444.3659454028128,7.31e+03
1785.0000000042653,-81314.99389648438,4068.804931640625,431.5385814266984,7.3e+03
1792.5000000043153,-81431.7666015625,4157.9833984375,440.99687439033124,7.3e+03
1800.0000000043653,-81301.48461914062,3946.7177734375,418.5899835099755,7.29e+03
1807.5000000044154,-81613.197265625,4209.5322265625,446.46415742232995,7.29e+03
1815.0000000044654,-81474.46887207031,4081.743896484375,432.9108916326709,7.29e+03
1822.5000000045154,-81344.15942382812,3948.703369140625,418.8005763418781,7.29e+03
1830.0000000045654,-81617.71337890625,4204.1845703125,445.89698351479336,7.29e+03
1837.5000000046155,-81574.52978515625,4106.03466796875,435.4871776046554,7.29e+03
1845.0000000046655,-81528.57934570312,4047.47412109375,429.276229734068,7.29e+03
1852.5000000047155,-81470.71606445312,3923.959228515625,416.17620591288596,7.29e+03
1860.0000000047655,-81701.17114257812,4133.1484375,438.36287153376406,7.29e+03
1867.5000000048155,-81598.26257324219,4000.854736328125,424.3317648342402,7.29e+03
1875.0000000048656,-81673.51916503906,4048.944580078125,429.432187022467,7.29e+03
1882.5000000049156,-81719.50964355469,4107.36328125,435.6280906983741,7.29e+03
1890.0000000049656,-81710.86083984375,4048.3486328125,429.3689806899115,7.29e+03
1897.5000000050156,-81896.80883789062,4182.94677734375,443.64449729234065,7.29e+03
1905.0000000050657,-81814.90246582031,4079.8916015625,432.7144367186607,7.3e+03
1912.5000000051157,-81833.37524414062,4052.06884765625,429.76354770977275,7.3e+03
1920.0000000051657,-81865.33361816406,4058.4169921875,430.4368336823698,7.3e+03
1927.5000000052157,-81739.29370117188,3884.576171875,411.99922798435944,7.3e+03
1935.0000000052657,-81734.28100585938,3899.47900390625,413.5798264898309,7.3e+03
1942.5000000053158,-81875.29113769531,4015.06787109375,425.8392138561109,7.3e+03
1950.0000000053658,-81882.84643554688,4023.13037109375,426.694324845998,7.3e+03
1957.5000000054158,-81725.35375976562,3870.46337890625,410.50242124134184,7.3e+03
1965.0000000054658,-81513.08374023438,3702.310546875,392.66808516065186,7.3e+03
1972.5000000055159,-81783.64038085938,3958.06005859375,419.7929494247095,7.3e+03
1980.0000000055659,-81908.43090820312,4045.830322265625,429.1018879736843,7.31e+03
1987.500000005616,-82018.8916015625,4127.9189453125,437.808230139524,7.31e+03
1995.000000005666,-81985.787109375,4069.27294921875,431.5882195010568,7.3e+03
2002.500000005716,-81964.47265625,4036.20166015625,428.08066939537287,7.3e+03
2010.000000005766,-81860.7861328125,3909.1533203125,414.60588717555237,7.3e+03
2017.500000005816,-81718.94140625,3738.09375,396.46326162521626,7.29e+03
2025.000000005866,-81855.16979980469,3871.8369140625,410.648098761603,7.28e+03
2032.500000005916,-81694.26513671875,3689.187255859375,391.2762252696816,7.27e+03
2040.000000005966,-81891.35400390625,3855.927490234375,408.9607408505083,7.27e+03
2047.500000006016,-81895.57836914062,3858.74853515625,409.2599416586522,7.26e+03
2055.00000000596,-81790.03637695312,3725.10107421875,395.0852548222907,7.26e+03
2062.5000000058963,-82015.34350585938,3965.1787109375,420.54795566995926,7.26e+03
2070.0000000058326,-82020.21130371094,3936.519775390625,417.5083810039625,7.26e+03
2077.500000005769,-81964.65649414062,3854.80615234375,408.8418114423036,7.25e+03
2085.0000000057053,-81923.810546875,3790.89404296875,402.06327536621933,7.25e+03
2092.5000000056416,-82064.04443359375,3875.2578125,411.0109202002627,7.25e+03
2100.000000005578,-81845.14282226562,3613.57763671875,383.25704805810625,7.24e+03
2107.5000000055143,-82075.39526367188,3800.271240234375,403.0578235133418,7.24e+03
2115.0000000054506,-81992.1259765625,3696.947265625,392.0992540612745,7.24e+03
2122.500000005387,-82010.607421875,3657.76708984375,387.94379373305674,7.24e+03
2130.0000000053233,-82217.1806640625,3842.27685546875,407.5129507349087,7.24e+03
