,q nm,all,1-1,2-2
162,406.25,1457.8129,167.42072,297.63678
163,408.75,738.01733,165.3789,0.0
164,411.25,231.16948,54.4582,0.0
165,413.75,316.22516,269.01102,191.29669
166,416.25,295.07996,318.94675,189.00546
167,418.75,222.96237,315.14877,0.0
168,421.25,322.0125,467.13007,184.54518
169,423.75,468.96103,1282.3154,0.0
170,426.25,1026.2699,2686.717,90.120476
171,428.75,1995.953,5761.884,0.0
172,431.25,3137.2026,8567.678,0.0
173,433.75,3724.5789,9937.873,87.03117
174,436.25,3729.4028,8662.764,86.03613
175,438.75,3812.009,7655.2656,0.0
176,441.25,4510.3735,8893.314,0.0
177,443.75,5055.3345,10149.808,0.0
178,446.25,5210.299,9620.177,82.22372
179,448.75,4316.066,6814.7925,162.61995
180,451.25,2688.0422,3663.7507,80.41152
181,453.75,1460.7133,1431.4993,79.527725
182,456.25,1589.2286,663.68365,0.0
183,458.75,1629.1141,393.8813,233.41109
184,461.25,1682.1837,476.20645,76.96265
185,463.75,1901.823,513.9118,380.67538
186,466.25,1729.3038,338.94357,301.28314
187,468.75,2094.1528,503.0074,670.67645
188,471.25,2397.0095,290.31583,3981.4736
189,473.75,4917.7485,1190.0752,16123.009
190,476.25,9175.603,7390.5386,29237.291
191,478.75,6075.228,7233.1963,11644.552
192,481.25,2376.3418,1153.2726,1131.1791
193,483.75,2968.7212,78.7161,279.87946
194,486.25,3154.5144,116.86332,0.0
195,488.75,3348.9443,38.55693,0.0
196,491.25,3028.311,76.330894,0.0
197,493.75,2405.5781,75.55984,0.0
198,496.25,1978.3975,224.4016,0.0
199,498.75,1450.8247,74.05251,0.0
200,501.25,1173.0504,36.65783,0.0
201,503.75,1469.5734,108.88473,0.0
202,506.25,1678.0509,35.937283,0.0
203,508.75,1580.2657,106.755104,0.0
204,511.25,1334.7217,70.47562,125.28997
205,513.75,1287.5797,34.895695,0.0
206,516.25,981.7471,34.558628,61.437557
207,518.75,1184.6436,68.45229,121.69295
208,521.25,1073.6903,101.69619,0.0
209,523.75,1260.8053,201.45477,59.690296
210,526.25,1151.1184,33.257557,118.24907
211,528.75,1484.4946,98.831856,58.56702
212,531.25,1246.7684,65.26887,116.03353
213,533.75,1002.87274,96.98837,57.474583
214,536.25,711.1682,64.05744,0.0
215,538.75,559.5226,158.66093,112.82554
216,541.25,297.71567,157.19904,111.78596
217,543.75,305.1556,155.75653,55.38009
218,546.25,211.65848,185.2012,164.62326
219,548.75,319.5949,183.51741,54.375523
220,551.25,435.46832,212.1671,53.883705
221,553.75,559.04565,150.18224,160.19435
222,556.25,952.5439,297.67,52.9191
223,558.75,1618.3518,265.5109,104.89317
224,561.25,2071.7942,409.34647,207.92198
225,563.75,2365.7334,637.5652,0.0
226,566.25,2785.7368,1350.0742,102.13326
227,568.75,2435.898,1366.7064,253.09375
228,571.25,2386.9622,2455.5068,401.41104
229,573.75,2183.4897,3385.4373,646.6215
230,576.25,1983.4534,3799.9211,1134.1207
231,578.75,1840.6486,3602.1724,2053.1462
232,581.25,1771.4413,3543.9956,2471.7095
233,583.75,1800.4271,3297.4739,3411.5935
234,586.25,2380.148,4019.7817,5383.5293
235,588.75,2707.0247,4782.8447,5951.984
236,591.25,3019.7139,5743.694,5808.0977
237,593.75,3437.938,6426.94,6827.5347
238,596.25,3662.9546,7254.005,6770.4033
239,598.75,3473.0303,7142.153,5937.5205
240,601.25,3560.6824,7082.8887,6295.9004
241,603.75,3217.731,6367.395,5255.627
242,606.25,2462.9856,4886.5923,3653.11
243,608.75,2134.4019,3305.5845,3004.5742
244,611.25,1674.2644,1972.0906,2015.9146
245,613.75,1620.7357,1344.7916,1173.6361
246,616.25,1892.7037,1212.6372,1164.1316
247,618.75,1704.6248,1732.1189,1496.8926
248,621.25,1698.7262,1861.3911,1866.6941
249,623.75,1801.0857,1515.0767,3156.4092
250,626.25,1740.724,1362.0975,2254.5059
251,628.75,1795.3779,1095.0095,2485.1274
252,631.25,1660.4309,1040.1279,1931.2991
253,633.75,1272.9564,665.02625,1304.5723
254,636.25,1106.9548,432.2882,970.7523
255,638.75,766.6042,361.18854,401.32056
256,641.25,402.26077,313.58057,438.01727
257,643.75,348.34253,355.59973,197.55537
258,646.25,223.23418,352.85406,235.23601
259,648.75,242.95345,350.13885,233.42586
260,651.25,482.1832,803.491,424.6679
261,653.75,605.16614,1206.814,153.2462
262,656.25,991.6248,1753.6748,190.10023
263,658.75,1344.4917,2079.9775,415.05215
264,661.25,1753.9152,2169.6106,299.5794
265,663.75,2034.2632,2466.8857,445.99057
266,666.25,1781.8857,1929.6708,405.76108
267,668.75,1607.2021,1812.3054,732.24457
268,671.25,1501.8091,1410.4491,1380.9227
269,673.75,1967.7035,852.17474,1947.8276
270,676.25,2762.0728,644.48376,3401.4417
271,678.75,3564.289,399.8402,5864.3223
272,681.25,3512.2551,456.44742,8044.0576
273,683.75,2926.9602,906.232,8580.746
274,686.25,2560.83,1466.8098,8726.975
275,688.75,2155.5347,1863.9037,7075.9297
276,691.25,1919.678,1811.8931,6510.8203
277,693.75,1662.1704,2105.0515,4899.0283
278,696.25,1519.9685,2374.9512,3343.931
279,698.75,1201.1329,1848.667,3018.2314
280,701.25,1137.5409,1779.3191,2031.1289
281,703.75,1342.0039,1469.1453,1223.2544
282,706.25,2363.572,1883.4717,1280.2681
283,708.75,2275.086,2035.2294,423.7514
284,711.25,1860.8035,2621.7715,323.67545
285,713.75,1830.0813,3272.3777,321.41214
286,716.25,1741.119,2818.693,191.50354
287,718.75,2124.8857,3405.2754,95.08621
288,721.25,2000.3422,2726.6228,125.90465
289,723.75,1888.9362,2391.313,156.29495
290,726.25,1647.8738,2060.5552,0.0
291,728.75,1064.634,1404.765,61.6632
292,731.25,883.0126,1222.9304,183.7266
293,733.75,731.771,1539.652,30.412876
294,736.25,898.8026,1937.0032,90.62002
295,738.75,1074.5787,2598.9653,90.00745
296,741.25,1160.3962,2547.9458,59.601067
297,743.75,1380.957,2647.4011,148.00284
298,746.25,1387.9219,2480.843,58.80516
299,748.75,1453.7717,2070.0156,87.61969
300,751.25,1470.7566,1778.8296,232.10007
301,753.75,1730.9885,2139.9148,489.9468
302,756.25,1745.8464,1819.7954,601.2303
303,758.75,1776.1594,1471.8617,1336.7631
304,761.25,2060.3254,1557.5698,1554.0377
305,763.75,2191.225,1547.3917,2442.1418
306,766.25,2202.5554,1380.439,2900.316
307,768.75,2188.2559,1168.8723,2853.7798
308,771.25,2204.4246,1409.0497,2422.3953
309,773.75,2305.7473,1738.4156,1640.9822
310,776.25,2041.3657,1620.2407,1277.1707
311,778.75,2038.1974,1412.419,458.9939
312,781.25,1778.7997,980.86523,402.40622
313,783.75,1850.699,659.7399,639.74774
314,786.25,1897.3375,223.48451,794.61145
315,788.75,2001.3467,222.06975,1342.2881
316,791.25,1907.0573,220.66866,1778.4255
317,793.75,1895.0654,204.66231,2338.9976
318,796.25,1484.7217,145.27031,2608.4087
319,798.75,1371.7356,115.48978,1924.8293
320,801.25,1185.18,186.50194,1887.3356
321,803.75,1201.0939,228.11475,1317.9961
322,806.25,1064.115,410.8988,780.86505
323,808.75,1200.0851,549.1769,450.60663
324,811.25,1288.6616,839.6866,373.19397
325,813.75,1526.0114,1349.1691,123.635185
326,816.25,1480.56,1520.6211,122.87846
327,818.75,1677.9084,2033.4547,195.40704
328,821.25,1667.7109,2553.6826,121.38715
329,823.75,1467.017,2307.4497,168.91132
330,826.25,1339.2218,2091.1577,191.87682
331,828.75,1138.4774,1354.4052,381.4386
332,831.25,1249.1632,1292.9602,710.9059
333,833.75,1336.8666,1139.4734,1436.8551
334,836.25,1350.3771,1369.7299,2435.075
335,838.75,1975.0359,1937.6302,4352.394
336,841.25,1976.0719,2121.356,4581.0874
337,843.75,1913.6892,2186.4324,4967.988
338,846.25,1490.8337,1671.9387,3498.21
339,848.75,1135.5587,1406.4022,2477.5405
340,851.25,680.65796,864.31116,1152.4148
341,853.75,507.50668,480.17154,606.53235
342,856.25,459.4267,276.3739,223.33243
343,858.75,562.79004,449.62036,133.22083
344,861.25,717.6534,645.6854,154.52298
345,863.75,741.7222,901.20276,175.57677
346,866.25,801.578,1350.1582,174.56589
347,868.75,936.43835,1903.7595,130.17157
348,871.25,1093.5072,2426.7146,150.99556
349,873.75,1032.1152,2195.7075,85.79076
350,876.25,998.8094,1991.2542,63.976025
351,878.75,1043.7733,1359.7291,169.6348
352,881.25,956.5302,960.64496,147.58878
353,883.75,881.81274,377.36966,251.57974
354,886.25,827.06616,375.24304,125.08099
355,888.75,712.00464,303.17313,124.37869
356,891.25,609.57697,417.42776,103.06857
357,893.75,583.57996,611.1118,184.48656
358,896.25,718.85767,848.49554,570.7597
359,898.75,1128.15,1527.936,770.3027
360,901.25,1514.3726,1916.3387,1310.3169
361,903.75,1940.5057,2435.7585,2425.7346
362,906.25,2303.3123,2310.1785,3947.489
363,908.75,2538.2988,2040.9728,5432.679
364,911.25,2792.4143,2628.7542,5619.8394
365,913.75,2870.813,2846.0496,5157.698
366,916.25,2683.2,3137.7144,3783.7856
367,918.75,2294.5215,2858.7996,2114.3958
368,921.25,1729.2781,2300.6843,1041.8191
369,923.75,1684.6815,2137.1316,1228.0709
370,926.25,1265.4658,1728.4038,935.1749
371,928.75,1394.6423,1751.1481,1252.8538
372,931.25,1442.6476,1954.1635,1642.6299
373,933.75,1659.1383,1795.8191,3061.1082
374,936.25,1746.3638,1660.1608,3306.3115
375,938.75,1467.4639,1421.3925,2415.438
376,941.25,1154.1678,1070.7878,1460.0599
377,943.75,1073.7798,878.9885,790.5151
378,946.25,886.72925,617.18384,402.31238
379,948.75,965.5958,675.3324,327.43387
380,951.25,1123.3778,946.6038,271.42758
381,953.75,1239.8341,1103.659,252.00775
382,956.25,1276.1116,1359.7743,501.3817
383,958.75,1465.7748,1793.5703,445.33087
384,961.25,1337.732,1455.3127,584.78314
385,963.75,1444.1228,1408.101,1181.1298
386,966.25,1462.4365,1410.6957,2139.6099
387,968.75,1352.3517,902.9032,2878.8215
388,971.25,1606.8301,986.1363,4235.287
389,973.75,1706.4292,786.8051,4714.3545
390,976.25,1890.1914,1092.0275,5154.111
391,978.75,2059.4932,1547.9558,5025.247
392,981.25,2086.4941,1693.1293,4455.4907
393,983.75,2019.961,1655.9799,3806.8499
394,986.25,1762.383,1931.6648,2474.5508
395,988.75,1698.1082,1931.3291,1574.3732
396,991.25,1759.9565,2240.31,1316.4816
397,993.75,1553.1641,2574.141,530.5798
398,996.25,1578.7064,2691.1492,362.94424
399,998.75,1540.6589,2834.6545,229.8091
