,q nm,all,1-1,2-2
169,423.75,146.06374,194.75163,0.0
170,426.25,180.44449,64.158035,0.0
171,428.75,178.34633,126.82405,0.0
172,431.25,70.51386,125.35797,0.0
173,433.75,69.70356,0.0,0.0
174,436.25,172.26656,245.00131,0.0
175,438.75,68.123634,0.0,0.0
176,441.25,33.676994,59.870213,0.0
177,443.75,166.49286,118.39491,532.7771
178,446.25,131.7065,117.07244,0.0
179,448.75,65.12143,57.88571,0.0
180,451.25,96.60279,0.0,0.0
181,453.75,95.54103,113.23381,0.0
182,456.25,125.99617,167.99489,0.0
183,458.75,186.93971,221.55818,498.50592
184,461.25,61.639645,54.79079,0.0
185,463.75,182.9305,162.60487,0.0
186,466.25,180.974,53.621925,965.1947
187,468.75,119.366,106.1031,477.464
188,471.25,29.5257,52.49013,0.0
189,473.75,87.64461,51.937542,0.0
190,476.25,28.908943,0.0,0.0
191,478.75,85.82356,0.0,457.72568
192,481.25,141.55705,150.99417,0.0
193,483.75,112.07819,99.62505,0.0
194,486.25,55.464424,0.0,443.7154
195,488.75,109.796875,146.39581,439.1875
196,491.25,244.53464,289.81882,0.0
197,493.75,161.37631,95.6304,0.0
198,496.25,266.25772,331.34296,0.0
199,498.75,131.79756,187.4454,0.0
200,501.25,104.388885,139.18518,0.0
201,503.75,51.677708,45.935738,0.0
202,506.25,153.50552,136.44934,0.0
203,508.75,202.66786,225.18651,405.33572
204,511.25,125.43145,133.79353,0.0
205,513.75,149.0564,44.164856,397.48373
206,516.25,123.01386,87.47652,0.0
207,518.75,73.09821,86.63492,0.0
208,521.25,72.39894,42.903076,0.0
209,523.75,95.61231,84.988716,0.0
210,526.25,213.08867,294.6411,0.0
211,528.75,117.266304,83.389366,0.0
212,531.25,92.93164,165.2118,0.0
213,533.75,115.078964,204.58482,0.0
214,536.25,182.41354,202.68172,364.8271
215,538.75,180.7247,240.96625,0.0
216,541.25,290.97168,238.74597,1432.476
217,543.75,133.06229,236.55518,0.0
218,546.25,43.94911,39.065872,0.0
219,548.75,261.2972,309.68558,696.7926
220,551.25,86.31128,115.081696,0.0
221,553.75,64.1501,38.014874,342.13388
222,556.25,84.766174,75.34771,0.0
223,558.75,168.01859,112.01238,0.0
224,561.25,228.97246,296.04517,333.05084
225,563.75,61.894306,73.35622,0.0
226,566.25,81.798874,72.710106,327.1955
227,568.75,60.811085,72.072395,0.0
228,571.25,80.372856,35.721268,0.0
229,573.75,139.4296,212.46414,0.0
230,576.25,118.476654,175.52097,0.0
231,578.75,156.60683,174.00758,0.0
232,581.25,135.85493,69.00568,310.52554
233,583.75,57.725845,68.41582,307.8712
234,586.25,190.7826,169.58452,610.5043
235,588.75,94.58261,100.888115,0.0
236,591.25,56.270866,66.69139,0.0
237,593.75,92.99652,0.0,297.58887
238,596.25,221.32402,229.52121,0.0
239,598.75,91.44962,65.03084,292.63876
240,601.25,126.9671,128.98244,0.0
241,603.75,53.964733,31.979101,0.0
242,606.25,160.56154,126.863434,285.44275
243,608.75,70.775696,62.911724,0.0
244,611.25,157.94536,124.79633,561.58356
245,613.75,69.62734,30.945484,278.50937
246,616.25,138.12694,153.47438,276.25388
247,618.75,119.886635,91.342186,274.02658
248,621.25,84.94554,90.60857,0.0
249,623.75,84.26596,59.92246,269.65106
250,626.25,117.03231,148.61246,0.0
251,628.75,199.0347,294.8662,0.0
252,631.25,98.73088,87.76078,0.0
253,633.75,81.62784,87.06969,261.20908
254,636.25,145.77728,143.97755,0.0
255,638.75,32.1419,28.570574,0.0
256,641.25,95.675316,85.04472,255.13419
257,643.75,237.33414,309.4134,253.15642
258,646.25,78.50055,83.73391,0.0
259,648.75,140.21367,110.7861,0.0
260,651.25,61.839622,54.96855,247.35849
261,653.75,138.07732,136.37267,245.4708
262,656.25,167.47711,189.46904,243.60306
263,658.75,120.878784,134.30975,0.0
264,661.25,104.97119,79.97804,479.8683
265,663.75,178.59767,185.2124,0.0
266,666.25,162.4877,157.56381,945.383
267,668.75,175.93713,182.45332,469.16568
268,671.25,116.41954,77.61302,232.83908
269,673.75,101.112526,51.358738,0.0
270,676.25,157.71835,152.93898,229.4085
271,678.75,128.09332,126.51192,0.0
272,681.25,113.026535,0.0,0.0
273,683.75,182.3276,149.60213,0.0
274,686.25,125.3091,123.76207,222.77173
275,688.75,138.22282,147.43767,0.0
276,691.25,68.61234,24.395498,219.5595
277,693.75,108.990234,96.8802,0.0
278,696.25,135.26088,96.18551,216.4174
279,698.75,26.859018,23.874681,0.0
280,701.25,133.33917,165.9332,0.0
281,703.75,105.914444,47.073082,0.0
282,706.25,118.31204,93.48112,0.0
283,708.75,104.42583,92.82295,0.0
284,711.25,51.84655,46.08582,207.3862
285,713.75,102.96802,114.408905,0.0
286,716.25,89.46924,90.88937,0.0
287,718.75,165.00221,112.82202,203.07965
288,721.25,113.44213,112.04161,201.67491
289,723.75,162.7303,111.26858,0.0
290,726.25,24.863358,22.100761,0.0
291,728.75,148.15878,153.64615,0.0
292,731.25,159.40953,152.59715,196.19633
293,733.75,73.07332,43.302708,0.0
294,736.25,36.288937,21.504555,0.0
295,738.75,132.16,149.51433,0.0
296,741.25,119.33673,148.50793,0.0
297,743.75,82.97518,84.29224,0.0
298,746.25,129.51744,83.72844,188.389
299,748.75,175.43727,228.7182,0.0
300,751.25,139.41728,165.2353,0.0
301,753.75,103.87059,123.10588,0.0
302,756.25,114.64936,101.91054,183.43898
303,758.75,102.505974,101.24047,182.23285
304,761.25,79.20399,100.576485,0.0
305,763.75,112.40917,79.93541,0.0
306,766.25,156.34721,138.9753,178.68251
307,768.75,110.95154,78.898865,177.52246
308,771.25,187.39645,156.77611,176.37312
309,773.75,131.4268,116.82382,0.0
310,776.25,108.818115,116.07265,348.21796
311,778.75,183.80489,192.21425,172.99283
312,781.25,128.91539,171.88718,0.0
313,783.75,138.76854,189.76894,170.79204
314,786.25,95.461044,94.28251,0.0
315,788.75,105.39638,112.42279,0.0
316,791.25,146.62396,223.42696,167.57024
317,793.75,93.66555,74.00735,0.0
318,796.25,82.73598,55.15731,0.0
319,798.75,143.88289,146.16673,0.0
320,801.25,132.77335,181.57037,163.41335
321,803.75,142.09833,54.13269,0.0
322,806.25,161.39288,197.25797,0.0
323,808.75,80.1983,71.28738,0.0
324,811.25,179.33537,194.8335,159.40923
325,813.75,59.411896,35.20705,0.0
326,816.25,98.41377,122.470474,157.46204
327,818.75,97.81384,104.33476,0.0
328,821.25,145.82906,172.83444,0.0
329,823.75,96.629745,85.893105,0.0
330,826.25,48.02337,51.224922,0.0
331,828.75,143.20099,152.74771,305.49545
332,831.25,113.87338,151.83116,151.83118
333,833.75,122.62432,100.614815,150.92224
334,836.25,75.00999,66.675545,0.0
335,838.75,93.20447,82.84841,149.12714
336,841.25,185.30345,181.18558,296.4855
337,843.75,73.68293,49.12195,147.36586
338,846.25,164.80753,179.05014,585.98236
339,848.75,81.919426,64.726456,0.0
340,851.25,99.53629,112.60671,0.0
341,853.75,188.91203,175.91808,143.93298
342,856.25,134.15076,190.79218,143.09415
343,858.75,97.805595,110.64874,142.26268
344,861.25,141.43768,141.43768,141.43768
345,863.75,114.25376,62.497784,421.86005
346,866.25,183.50116,124.27591,279.62082
347,868.75,191.1339,200.78711,139.00647
348,871.25,155.48509,199.63518,276.41794
349,873.75,146.00897,167.95802,137.42021
350,876.25,136.6363,121.45449,409.9089
351,878.75,93.404495,135.86107,0.0
352,881.25,135.09068,150.10075,135.09068
353,883.75,142.72284,119.40211,402.98212
354,886.25,116.87409,133.57037,133.57039
355,888.75,107.916595,88.54694,531.2817
356,891.25,140.33154,132.07672,0.0
357,893.75,131.33858,87.55905,262.67715
358,896.25,155.09543,145.11853,261.21335
359,898.75,89.29366,86.58778,0.0
360,901.25,121.088905,86.107666,258.323
361,903.75,112.39217,85.63212,256.8964
362,906.25,87.82104,113.54638,0.0
363,908.75,63.518997,84.691986,0.0
364,911.25,134.23882,112.30435,379.0272
365,913.75,125.652245,125.65224,125.652245
366,916.25,132.77731,138.85208,124.96687
367,918.75,93.21615,110.47839,124.2882
368,921.25,92.71072,41.20476,123.61429
369,923.75,145.9981,150.26704,245.89153
370,926.25,114.64052,135.87024,122.28322
371,928.75,114.0244,81.084015,0.0
372,931.25,105.8519,107.532074,120.97359
373,933.75,82.72445,40.108818,240.65294
374,936.25,74.803276,53.193436,119.68524
375,938.75,111.607635,119.048134,119.04814
376,941.25,133.21901,105.25946,355.2507
