,q nm,all,1-1,2-2
167,418.75,68.603806,0.0,93.3774
168,421.25,135.58421,103.80668,276.81775
169,423.75,133.98886,153.87785,182.37373
170,426.25,248.29112,202.7711,180.24095
171,428.75,98.16162,0.0,178.14517
172,431.25,161.71147,148.57243,88.042915
173,433.75,175.83849,195.82016,174.06235
174,436.25,142.22299,241.97665,172.07227
175,438.75,203.09885,95.69082,85.058495
176,441.25,139.01837,141.9146,0.0
177,443.75,91.63748,93.54661,83.152534
178,446.25,151.02316,92.50169,246.67114
179,448.75,119.475876,137.21059,0.0
180,451.25,162.46411,90.462975,80.41152
181,453.75,233.71413,313.14044,159.05545
182,456.25,130.02779,176.9823,78.65879
183,458.75,100.033325,175.05833,77.803696
184,461.25,98.95197,86.58299,153.9253
185,463.75,83.90395,0.0,152.27014
186,466.25,166.01315,254.20769,150.64157
187,468.75,123.18546,125.75185,149.0392
188,471.25,162.50912,248.84213,221.19298
189,473.75,66.9993,82.07415,72.954796
190,476.25,212.15266,324.85883,216.57251
191,478.75,52.485775,0.0,142.87794
192,481.25,129.85474,119.30406,212.09607
193,483.75,102.81286,78.7161,139.93973
194,486.25,152.63779,116.86332,138.50465
195,488.75,125.90017,115.67079,137.0913
196,491.25,224.31934,190.82724,339.24838
197,493.75,123.36298,113.33975,134.32858
198,496.25,146.54796,149.60106,132.97871
199,498.75,108.811844,148.10503,65.82445
200,501.25,167.57863,256.6048,195.50839
201,503.75,154.06818,72.58982,129.04855
202,506.25,152.55008,215.6237,127.77699
203,508.75,92.95681,71.17007,63.262276
204,511.25,126.56844,105.713425,62.644985
205,513.75,91.15609,104.68708,62.03678
206,516.25,180.55118,172.79315,368.62534
207,518.75,134.1106,171.13074,60.846474
208,521.25,188.17252,135.59492,241.05762
209,523.75,98.671715,33.575794,179.07088
210,526.25,97.73648,133.03023,59.124535
211,528.75,150.6009,263.5516,58.56702
212,531.25,223.77895,163.17218,232.06706
213,533.75,137.23523,129.31783,172.42374
214,536.25,104.583565,96.08616,341.63962
215,538.75,93.25376,95.196556,112.82554
216,541.25,164.25691,31.439804,223.57191
217,543.75,162.74965,93.45391,276.90045
218,546.25,171.34258,123.46747,274.37213
219,548.75,49.936707,61.17247,108.751045
220,551.25,158.35211,151.54794,161.65111
221,553.75,107.886,120.14578,53.39812
222,556.25,116.63802,59.533997,158.75731
223,558.75,163.7618,118.00484,104.89317
224,561.25,162.30644,175.4342,259.9025
225,563.75,85.1664,115.920944,51.520416
226,566.25,93.79585,143.62492,102.13326
227,568.75,120.86518,56.9461,151.85625
228,571.25,147.4571,112.896866,150.52913
229,573.75,118.76723,55.95764,0.0
230,576.25,108.682365,110.9466,147.92877
231,578.75,116.72406,137.48749,97.76887
232,581.25,124.62401,190.83054,145.39467
233,583.75,141.20998,189.19931,144.15184
234,586.25,105.00652,160.79128,95.2837
235,588.75,95.43997,53.14272,141.7139
236,591.25,60.22221,26.347221,0.0
237,593.75,93.8395,130.62888,139.33743
238,596.25,219.94647,233.16443,322.40015
239,598.75,92.27858,102.76479,182.69295
240,601.25,133.10962,101.91206,90.58849
241,603.75,107.2577,151.60464,44.91989
242,606.25,122.74014,100.23779,178.2005
243,608.75,186.65872,223.68617,44.184917
244,611.25,169.0363,197.20905,131.47267
